frame,object_id,x_position,y_position,confidence
0,0,345.06328644883814,588.4524676802807,0.7529099782307943
0,1,173.4566799285903,580.0611217619088,0.65763605038325
0,2,254.3154357415243,581.8149389098071,0.6906596803665161
1,0,345.2132792117429,588.5516545716854,0.7539376894632976
1,1,174.21691872449233,579.1835720374086,0.6790280858675639
1,2,257.2121108709059,581.344026927692,0.6916244864463806
2,0,345.41078545983,588.9801366211661,0.7512428760528564
2,1,175.41719672707964,578.7870610230814,0.681594439347585
2,2,258.7176711757891,580.4070673848988,0.6919680714607239
3,0,345.74966404454966,589.3211775880845,0.7537609577178955
3,1,175.74128272401862,578.6922943939512,0.675804078578949
3,2,260.276681533879,579.788917222459,0.6916962242126464
4,0,345.5917456064315,589.0850000699129,0.7539570967356365
4,1,176.89694293556025,579.5949060080561,0.6761176705360413
4,2,261.87344540869566,579.4960945632162,0.6916106724739075
5,0,345.9481765599842,589.0620291540282,0.7541247526804605
5,1,177.30320239566188,580.0599774494076,0.6748239636421203
5,2,263.69456418787826,580.2702997929592,0.692211036682129
6,0,346.370063486152,589.042811411776,0.7544752756754557
6,1,177.71181253798974,579.2675998822224,0.6577113389968873
6,2,264.93603577932504,581.7944532074957,0.6928014636039734
7,0,347.54555754138636,588.9688644344127,0.7568111578623453
7,1,178.6217082364247,579.7028427832986,0.6507711410522462
7,2,269.2101938191782,584.1424230661103,0.6921284508705139
8,0,348.5084319493486,588.5900293537384,0.7553268750508627
8,1,178.8662832938014,579.3306662702151,0.6727494438489279
8,2,273.07726082218204,585.3516942652282,0.6904693484306336
9,0,348.94954986494037,589.2217307518343,0.7547499815622967
9,1,179.66486886132475,579.8487149722491,0.657235852877299
9,2,276.04448021112677,586.6996745334609,0.6934379529953002
10,0,349.2759790016175,589.1918162222843,0.7552739302317301
10,1,179.58898944101574,579.6733289753321,0.6327046473821004
10,2,279.91021069443184,588.0972850251383,0.6937742233276367
11,0,349.4963807154225,589.2095443103228,0.7542530218760172
11,1,180.30466819013435,579.6794451294413,0.6686269601186118
11,2,284.3708925344941,589.9540182110793,0.6934398865699768
12,0,348.94357248394573,589.0215222883056,0.7552188555399576
12,1,180.33791109123325,578.7274207710393,0.6793501973152161
12,2,285.5464403040818,589.7498664545888,0.6927618050575257
13,0,349.6993834584814,588.8158453268675,0.7545629978179932
13,1,181.27574655862495,578.7889588497346,0.6803916931152344
13,2,286.135809608311,590.2955113311294,0.6926552772521972
14,0,349.89089837056446,588.2639652472125,0.7540152549743654
14,1,181.59434489736375,578.6687739771814,0.6668202598889669
14,2,286.9676568531916,590.1302235353091,0.6942440509796143
15,0,350.29631012094603,588.2635616907407,0.7552353382110596
15,1,182.44455408833704,578.801889402471,0.638935383160909
15,2,287.31421360738705,590.0166567940374,0.6956333518028259
16,0,350.778162764946,587.7868460800723,0.7551801681518556
16,1,182.39428472244242,578.4276964313354,0.6515078186988831
16,2,288.26419173511215,590.0601386200666,0.6953410267829895
17,0,351.42122814791827,587.2005053562896,0.7518045902252197
17,1,183.10199926824748,578.3378171379253,0.675685695807139
17,2,288.9942412349763,591.1705884816892,0.6929746437072755
18,0,351.6825071634699,587.029263152823,0.754500404993693
18,1,183.5440827349064,578.5454038782129,0.678866461912791
18,2,289.1363921818022,592.2880839246275,0.6947638130187987
19,0,352.3701428075148,587.2876803516427,0.7557701110839844
19,1,183.9402482442303,578.6004328160946,0.667363174756368
19,2,288.59725142485684,592.2415402500286,0.6915535831451416
20,0,352.10615182860204,587.3492141053127,0.7553023656209309
20,1,184.1710434679154,578.9765950240692,0.6758292516072592
20,2,287.64335880929667,592.1959873823329,0.6906783032417299
21,0,352.7109696294398,587.1587473741599,0.7547690709431967
21,1,184.98063284423975,578.8620566785007,0.6368011077245077
21,2,288.47034890542,592.6829791634214,0.6895393443107605
22,0,353.1185886615291,587.4110246997436,0.7528407255808514
22,1,185.5862717209263,579.3022863978283,0.6715346137682597
22,2,288.9699226156663,592.5755238690583,0.6911690878868104
23,0,353.0784669793836,587.1914268152909,0.7548545360565185
23,1,185.65682562665245,579.298466656723,0.6731618960698444
23,2,289.09146355150176,592.748331996551,0.6903320217132569
24,0,352.9228446223257,587.575051641795,0.754685640335083
24,1,185.8643034816973,580.1413135376571,0.6827082673708597
24,2,290.0956458820396,593.23758941407,0.6942688155174256
25,0,352.6608128508708,587.1480775309401,0.7529668807983398
25,1,185.63617849004206,579.8998901747196,0.6830913941065471
25,2,290.9779649344728,593.3588097032513,0.6950573110580445
26,0,352.9694236898299,587.168558761852,0.7529815355936685
26,1,186.389827938001,580.0625545057005,0.6824853142102559
26,2,291.55915663801227,592.049618387627,0.692868618965149
27,0,353.34563669057474,586.8449604627543,0.7512987772623697
27,1,185.66518545033404,580.4587244907967,0.6804919401804606
27,2,291.8938326428914,590.4463816216011,0.6942071604728699
28,0,353.64053751926957,586.5523710611958,0.7492510954538982
28,1,185.85058696148505,580.9571913588287,0.6785843054453532
28,2,295.4530097915397,589.0864800531473,0.6493264818191529
29,0,353.34048913381656,587.0002056665527,0.7495118459065756
29,1,185.54510709039855,580.8778809461963,0.6806467254956563
29,2,293.658511184412,589.463358586932,0.6926945972442627
30,0,354.4706395427246,587.0781094992507,0.7448042392730713
30,1,185.74144671497697,580.9365394603649,0.682862941424052
30,2,295.8872547735962,590.2593632599541,0.6646724319458007
31,0,355.2916589595863,587.1102134535564,0.7464914321899414
31,1,185.48837726510484,580.8332007346659,0.6813916087150572
31,2,297.56870282176607,590.2162758515896,0.6844346165657044
32,0,357.52032173987106,587.7941074205901,0.754310178756714
32,1,185.72921294965792,581.1080422928131,0.6820754806200663
32,2,299.79058856037256,591.3123986628386,0.6819532108306884
33,0,357.0733817479766,588.7444112935723,0.7525889555613201
33,1,185.45146678398916,581.4890977695381,0.6778286814689637
33,2,299.8857788639574,591.2798909724793,0.6917179393768311
34,0,357.6584516465719,588.6460406124263,0.7511066913604735
34,1,185.46044838439107,580.826369589292,0.6764913519223531
34,2,300.61536901032656,590.2172176339726,0.6902199745178222
35,0,358.7521331404103,587.4552864811853,0.7537763436635334
35,1,185.52329977260538,581.3956235109664,0.6738507231076558
35,2,303.5121085640548,590.5770302213378,0.6776131010055542
36,0,359.2866503407245,586.4441228843446,0.750504684448242
36,1,185.35266785649304,581.168577572756,0.6718923211097717
36,2,305.6591950986945,590.3399469123125,0.6771870899200441
37,0,359.89599067474086,584.5497240192784,0.751606798171997
37,1,185.46519694126775,582.1059959035927,0.6674597263336182
37,2,308.40425167814516,591.3076761685044,0.692655782699585
38,0,362.08349506702876,583.025696500989,0.7503682295481363
38,1,184.93781764832548,581.8009240575324,0.6739454785982768
38,2,312.8818310815103,593.2074556566553,0.6868426442146301
39,0,362.8981538241497,584.4607629889225,0.7459529558817545
39,1,185.19059499495685,582.2804689786401,0.67684086561203
39,2,317.09727549323287,595.8871287123379,0.6916410994529724
40,0,364.8166665645904,583.5049192066082,0.7527834892272948
40,1,184.68970213925763,581.7927933151739,0.677531643708547
40,2,316.47566187940186,597.2853110543251,0.6830075240135193
41,0,367.0785207456382,582.9306606809238,0.7495067755381267
41,1,184.90418465663043,581.7399180797664,0.6748211304346721
41,2,319.71132524211924,598.8652172146034,0.6896704697608949
42,0,368.4971368110229,582.7510429945181,0.7470047314961752
42,1,184.4232320970253,582.1913516430101,0.6753953973452251
42,2,322.1854198952577,599.1742336448228,0.6890209865570067
43,0,369.0772974005299,583.7345264969276,0.7466907978057863
43,1,184.84491011800964,581.9537924082473,0.6780854980150859
43,2,324.4145503626704,599.6357160717299,0.6808363604545594
44,0,371.2936165923981,582.6935243570082,0.7476618448893229
44,1,184.4515065851692,582.2432809797165,0.6802467942237854
44,2,328.0134767235204,599.1988577415779,0.6806838035583496
45,0,374.71988954474494,581.2374683260579,0.7430681705474852
45,1,184.30981964189561,582.6642545261526,0.6806789159774779
45,2,333.887415515377,598.8581738167115,0.6898521041870117
46,0,377.84748052014453,576.2003940979522,0.7470716317494711
46,1,184.0287288514121,583.1776626470609,0.6788240194320677
46,2,335.8837715306977,598.897237214878,0.6957383203506471
47,0,381.0296666265056,574.5658562707115,0.7433456738789875
47,1,184.07841774673773,583.0788869023327,0.6785711606343586
47,2,339.68738942477364,597.6999107217463,0.6934243226051331
48,0,383.0176691376692,572.1763690079623,0.7381345907847088
48,1,183.9318102988859,583.39028042889,0.6804703712463378
48,2,342.38473833957926,597.9194554732679,0.6921002840995788
49,0,384.41247086785967,570.2292322744655,0.7441908518473307
49,1,183.59546596734816,583.6133663864447,0.6800410906473796
49,2,342.1093073531969,597.4785252729387,0.6950071787834167
50,0,386.7214337703502,567.0455712754792,0.7556968053181965
50,1,183.71990381155456,583.9509674939382,0.6786417643229167
50,2,343.9842762901434,598.2583712055632,0.6947684669494629
51,0,389.42116956160385,563.1444545328308,0.7574976921081543
51,1,183.81572621311386,583.7128348306427,0.6791647513707479
51,2,348.7033075950489,598.190059749857,0.6944257974624634
52,0,391.0765615546904,561.067861134403,0.7533716678619383
52,1,183.8802315176875,583.9295914417056,0.6775552868843079
52,2,351.9605230805154,596.7718166739548,0.6887064552307128
53,0,392.58727358729425,559.6999452131929,0.7508150895436604
53,1,183.89834448114806,583.7648376242637,0.6778460224469504
53,2,355.01589966697725,595.3215907744614,0.68944486618042
54,0,393.26777256652144,560.1283573314108,0.751418129603068
54,1,183.78094983147665,583.6438363384855,0.6770883917808533
54,2,357.2815203578439,594.6129369877447,0.6904419875144958
55,0,393.79630296401933,559.4413619530965,0.7500783443450928
55,1,183.37337980619256,583.8636030956268,0.6750337203343708
55,2,359.40183606176817,593.4587189405449,0.6864830851554871
56,0,394.0171398090269,558.964309539212,0.752016003926595
56,1,183.3845687818052,583.8764451468821,0.675824503103892
56,2,359.9402924197334,593.1170704255987,0.6889119243621826
57,0,393.8830919152281,558.0879875559142,0.7536640008290609
57,1,183.3165031727298,583.8706042876042,0.6771473368008931
57,2,360.928438165457,593.1926305628467,0.6888142347335815
58,0,392.86552730760445,558.8890453399611,0.7514708995819092
58,1,182.96615029804548,583.9426983339565,0.6783255457878111
58,2,360.8420446775764,594.7780261059567,0.6885158443450928
59,0,391.98180690540175,559.4571253051093,0.7499067942301432
59,1,182.94753203914541,584.6190998401964,0.6753746072451273
59,2,360.238636550073,595.9294528934629,0.6851268005371093
60,0,392.6618777220844,559.230722142692,0.7534690856933594
60,1,183.32509305191465,584.2584544968377,0.6743997891743979
60,2,360.7910791538969,594.7158632834701,0.6845928287506103
61,0,392.36802365119587,557.511078683254,0.755772844950358
61,1,183.02851192850412,584.3128141318413,0.6758630434672037
61,2,361.0692544469688,594.7516409261791,0.6869177794456481
62,0,392.5132192067075,556.7950067010067,0.7554441134134929
62,1,183.1800154333056,584.2591132445068,0.6763227860132853
62,2,362.08905841516616,593.5095508007879,0.6902502870559692
63,0,391.883936542215,556.36599247707,0.7566272099812826
63,1,183.2986412591643,584.3393064360572,0.6758031249046326
63,2,361.90082698387056,592.6213264671842,0.6895486450195312
64,0,392.1161663860979,555.3990076613751,0.7538379828135172
64,1,183.1176632381075,584.1060388061061,0.6770615021387735
64,2,362.66847426949744,592.4220743753743,0.6878746151924133
65,0,391.6925764218289,554.9182404877869,0.7518857161204021
65,1,183.07482602759697,584.2962611878177,0.676757832368215
65,2,362.825183417194,591.4495362594329,0.6901764082908631
66,0,391.3101932715061,554.4504782421137,0.752802038192749
